modul,anahtar,yer_tutucular,turkce_kaynak,ar_mevcut,ar_duzeltme,not
hata,hataSunucuyaUlasilamadi,,Sunucuya ulaşılamadı. Ağ bağlantınızı ve sunucu adresini kontrol edin.,تعذّر الوصول إلى الخادم. تحقّق من اتصال الشبكة وعنوان الخادم.,,
hata,hataZamanAsimi,,Sunucuya bağlanırken zaman aşımı oluştu.,انتهت المهلة أثناء الاتصال بالخادم.,,
ihlal,ihlalAciklamaAlani,,Açıklama (isteğe bağlı),الوصف (اختياري),,
ihlal,ihlalAcildi,,İhlal kaydı açıldı,تم إنشاء سجل المخالفة,,
ihlal,ihlalBaslikAlani,,Başlık,العنوان,,
ihlal,ihlalBaslikZorunlu,,Başlık zorunlu,العنوان مطلوب,,
ihlal,ihlalDurumGuncellendi,,İhlal durumu güncellendi,تم تحديث حالة المخالفة,,
ihlal,ihlalDurumInceleniyor,,İnceleniyor,قيد المراجعة,,
ihlal,ihlalDurumKapatildi,,Kapatıldı,مغلق,,
ihlal,ihlalDurumYeni,,Yeni,جديد,,
ihlal,ihlalErisimYok,,İhlal kayıtları yalnız yönetim ve güvenlik içindir,سجلات المخالفات مخصّصة للإدارة والأمن فقط,,
ihlal,ihlalIncelemeyeAl,,İncelemeye al,بدء المراجعة,,
ihlal,ihlalKapaliDegistirilemez,,Kapatılmış ihlal yeniden açılamaz,لا يمكن إعادة فتح مخالفة مغلقة,,
ihlal,ihlalKapat,,Kaydı kapat,إغلاق السجل,,
ihlal,ihlalKapatmaOnay,,Kayıt kapatılsın mı? Kapatılan ihlal yeniden açılamaz.,هل تُغلق هذا السجل؟ لا يمكن إعادة فتح المخالفة المغلقة.,,
ihlal,ihlalKaydeden,ad,Açan: {ad},فتحها: {ad},,
ihlal,ihlalKaynakAlani,,Tespit kaynağı,مصدر الرصد,,
ihlal,ihlalKaynakDevriye,,Devriye,دورية,,
ihlal,ihlalKaynakKamera,,Kamera,كاميرا,,
ihlal,ihlalKaynakManuel,,Manuel,يدوي,,
ihlal,ihlalKonumAlani,,Konum (isteğe bağlı),الموقع (اختياري),,
ihlal,ihlalListeBos,,İhlal kaydı yok,لا توجد سجلات مخالفات,,
ihlal,ihlalYeni,,Yeni ihlal,مخالفة جديدة,,
izin,izinAtlandiEki,, ({n} zaten açık), ({n} مفتوح بالفعل),,
izin,izinBaslik,,Görüntüleme izni,إذن العرض,,
izin,izinDaireEki,, — {daire}, — {daire},,
izin,izinDaireIstegi,,Daire görüntüleme isteği{daire},طلب عرض الوحدة{daire},,
izin,izinDaireNo,,Daire no (örn. A-12),رقم الوحدة (مثال: A-12),,
izin,izinDurumEtiket,,Durum: {durum},الحالة: {durum},,
izin,izinDurumOnaylandi,,Onaylandı,تمت الموافقة,,
izin,izinGonderilemedi,,Gönderilemedi: {hata},تعذّر الإرسال: {hata},,
izin,izinGoruntulenebilirDaireler,,Görüntülenebilir daireler ({n}),الوحدات القابلة للعرض ({n}),,
izin,izinHedef,,Hedef: {ad},المستلم: {ad},,
izin,izinIsteBaslik,,Görüntüleme izni iste,طلب إذن العرض,,
izin,izinIstekGonder,,İstek gönder,إرسال الطلب,,
izin,izinIstekGonderildi,,İstek gönderildi — sakinin onayı bekleniyor,أُرسل الطلب — في انتظار موافقة الساكن,,
izin,izinIstekYokSakin,,Dairenize gelen görüntüleme isteği yok.,لا توجد طلبات عرض لوحدتك.,,
izin,izinIstekYokYonetim,,"Henüz izin isteğiniz yok. ""Yeni istek"" ile bir daire, üstteki ""Tüm daireler"" ile tümü için izin isteyin.","ليست لديك طلبات إذن بعد. استخدم ""طلب جديد"" لوحدة واحدة، أو ""جميع الوحدات"" أعلاه للجميع.",,
izin,izinIsteyen,,İsteyen: {ad},الطالب: {ad},,
izin,izinKargolar,,Kargolar,الشحنات,,
izin,izinKaydeden,,Kaydeden: {ad},المُسجِّل: {ad},,
izin,izinKayitBaslik,"baslik,daire",{baslik}{daire},{baslik}{daire},,
izin,izinKayitYok,,Bu dairede kayıt yok.,لا توجد سجلات لهذه الوحدة.,,
izin,izinKullanildi,,Kullanıldı,مُستخدم,,
izin,izinKullanildiUyari,,İzin kullanıldı (tek seferlik). Tekrar görmek için yeni istek açın.,تم استخدام الإذن (لمرة واحدة). افتح طلباً جديداً لتعرض مرة أخرى.,,
izin,izinOnayla,,Onayla,موافقة,,
izin,izinOnayli,,Onaylı,موافَق عليه,,
izin,izinSuresiDoldu,,İzin kullanıldı veya süresi doldu (tek seferlik). Tekrar görüntülemek için yeni bir izin isteği açın.,تم استخدام الإذن أو انتهت صلاحيته (لمرة واحدة). افتح طلب إذن جديداً لتعرض مرة أخرى.,,
izin,izinTekSeferlikUyari,,Tek seferlik izinle görüntüleniyor — yenilemede erişim kapanır.,يتم العرض بإذن لمرة واحدة — يُغلق الوصول عند التحديث.,,
izin,izinTopluGonderildi,"n,atlandi",{n} daire için istek gönderildi{atlandi} — sakin onayları bekleniyor,أُرسلت طلبات لـ {n} وحدة{atlandi} — في انتظار موافقات السكان,,
izin,izinTumDaireUyari,,Sakini olan tüm daireler için görüntüleme izni isteği gönderilecek. Her daire kendi sakininin onayına bağlıdır — yalnızca onaylayan dairelerin kayıtlarını görebilirsiniz.,سيُرسل طلب إذن عرض لكل وحدة لديها ساكن. كل وحدة تعتمد على موافقة ساكنها — ولن ترى سوى سجلات الوحدات الموافقة.,,
izin,izinTumDairelere,,Tüm dairelere izin iste,طلب إذن لجميع الوحدات,,
izin,izinVerildi,,İzin verildi,تم منح الإذن,,
izin,izinYeniIstek,,Yeni istek,طلب جديد,,
kabuk,kabukCikisYap,,Çıkış Yap,تسجيل الخروج,,
kabuk,kabukProfil,,Profil,الملف الشخصي,,
kamera,kameraAd,,Ad,الاسم,,
kamera,kameraAktif,,Aktif,نشِطة,,
kamera,kameraAktifAlt,,Kapalıyken hiçbir listede görünmez,عند الإيقاف لا تظهر في أي قائمة,,
kamera,kameraBaslik,,Kameralar,الكاميرات,,
kamera,kameraBosSakin,,Görüntülemenize açık kamera yok.,لا توجد كاميرات متاحة لك.,,
kamera,kameraBosYonetim,,Kamera tanımı yok. Sağ alttan ekleyebilirsiniz.,لا توجد كاميرات. يمكنك الإضافة من الأسفل يميناً.,,
kamera,kameraCanli,,Canlı,مباشر,,
kamera,kameraDuzenleBaslik,,Kamerayı düzenle,تعديل الكاميرا,,
kamera,kameraEkle,,Kamera Ekle,إضافة كاميرا,,
kamera,kameraKonum,,Konum (opsiyonel),الموقع (اختياري),,
kamera,kameraListeHata,,Kameralar yüklenemedi.,تعذّر تحميل الكاميرات.,,
kamera,kameraOynatilamiyor,,Oynatılamıyor,غير قابلة للتشغيل,,
kamera,kameraRtspBilgi,,RTSP yayınlar şu an uygulama içinde oynatılamıyor. Kayıt sistemde tutuluyor; oynatma desteği ileride eklenecek.,لا يمكن تشغيل بثوث RTSP داخل التطبيق حالياً. السجل محفوظ في النظام، وستُضاف إمكانية التشغيل لاحقاً.,,
kamera,kameraRtspFormUyari,,RTSP yayınlar şu an uygulama içinde oynatılamaz. Kayıt saklanır; oynatma desteği ileride eklenecek.,لا يمكن تشغيل بثوث RTSP داخل التطبيق حالياً. يُحفظ السجل، وستُضاف إمكانية التشغيل لاحقاً.,,
kamera,kameraSakinGorebilir,,Site sakinleri görebilsin,مرئية للسكان,,
kamera,kameraSakinGorebilirAlt,,Kapalıyken kamerayı yalnızca yönetim ve güvenlik görür,عند الإيقاف تراها الإدارة والأمن فقط,,
kamera,kameraSeritBaslik,,Canlı Kamera,كاميرا مباشرة,,
kamera,kameraSilBaslik,,Kamerayı sil,حذف الكاميرا,,
kamera,kameraSilOnay,,"""{ad}"" silinsin mi?",هل تريد حذف «{ad}»؟,,
kamera,kameraTur,,Tür,النوع,,
kamera,kameraTurEtiket,,Tür: {tur},النوع: {tur},,
kamera,kameraUrl,,Yayın URL'si,رابط البث,,
kamera,kameraUrlHataHttp,,{tur} yayın adresi http:// veya https:// ile başlamalı,يجب أن يبدأ رابط بث {tur} بـ http:// أو https://,,
kamera,kameraUrlHataRtsp,,RTSP yayın adresi rtsp:// ile başlamalı,يجب أن يبدأ رابط بث RTSP بـ rtsp://,,
kamera,kameraUrlZorunlu,,Yayın adresi zorunludur,رابط البث مطلوب,,
kamera,kameraYayinAcilamadi,,Yayın açılamadı,تعذّر فتح البث,,
kamera,kameraYayinAcilamadiAlt,,Kamera kapalı olabilir ya da ağ yayına ulaşamıyor.,قد تكون الكاميرا مطفأة أو أن الشبكة لا تصل إلى البث.,,
kamera,kameraYeni,,Yeni kamera,كاميرا جديدة,,
kar,karAdEki,, — {ad}, — {ad},,
kar,karBaslik,,Kargo,الشحنات,,
kar,karBekleyenYok,,Teslim bekleyen kargo yok.,لا توجد شحنات في انتظار الاستلام.,,
kar,karBekleyenYokSakin,,Teslim bekleyen kargonuz yok.,لا توجد شحنات في انتظار استلامك.,,
kar,karDaire,,Daire: {daire},الوحدة: {daire},,
kar,karDaireNo,,Daire no * (örn. A-12),رقم الوحدة * (مثال: A-12),,
kar,karDaireNoGerekli,,Daire no gerekli,رقم الوحدة مطلوب,,
kar,karDaireTarih,"daire,zaman",Daire: {daire} · {zaman},الوحدة: {daire} · {zaman},,
kar,karFirma,,Kargo firması *,شركة الشحن *,,
kar,karFirmaGerekli,,Kargo firması gerekli,شركة الشحن مطلوبة,,
kar,karGonderilemedi,,Kayıt gönderilemedi. Tekrar deneyin.,تعذّر إرسال السجل. حاول مرة أخرى.,,
kar,karIsaretlenemedi,,İşaretlenemedi. Tekrar deneyin.,تعذّر التأشير. حاول مرة أخرى.,,
kar,karKaydedildi,,Kargo kaydedildi — daire sakinlerine bildirildi ✓,تم تسجيل الشحنة — أُبلغ سكان الوحدة ✓,,
kar,karKaydetVeBildir,,Kaydet ve sakinlere bildir,احفظ وأبلغ السكان,,
kar,karKayit,,Kayıt: {zaman},التسجيل: {zaman},,
kar,karNot,,Not: {not},ملاحظة: {not},,
kar,karPaketFotografi,,Paket fotoğrafı (opsiyonel),صورة الشحنة (اختياري),,
kar,karSekmeBekleyen,,Bekleyen ({n}),قيد الانتظار ({n}),,
kar,karSekmeTeslim,,Teslim alınan ({n}),المستلمة ({n}),,
kar,karTeslimAldim,,Teslim aldım,لقد استلمتها,,
kar,karTeslimAlindiBildirim,,Kargo teslim alındı ✓,تم استلام الشحنة ✓,,
kar,karTeslimYok,,Henüz teslim alınan kargo kaydı yok.,لا توجد شحنات مستلمة مسجّلة بعد.,,
kar,karYeni,,Yeni kargo,شحنة جديدة,,
kar,karZamanEki,, · {zaman}, · {zaman},,
kargo,kargoDurumTeslimAlindi,,Teslim alındı,تم التسليم,,
kart,kartAidatBilgileri,,Aidat Bilgileri,الرسوم,,
kart,kartAidatDurumu,,Aidat Durumu,حالة الرسوم,,
kart,kartAracPlaka,,Araç Plaka,المركبات,,
kart,kartDemirbas,,Demirbaş,العهدة,,
kart,kartGeriBildirim,,Geri Bildirim,الملاحظات,,
kart,kartGonderimKuyrugu,,Gönderim Kuyruğu,قائمة الإرسال,,
kart,kartGorevler,,Görevler,المهام,,
kart,kartGorevlerim,,Görevlerim,مهامي,,
kart,kartGurultuSikayeti,,Gürültü Şikayeti,شكوى ضجيج,,
kart,kartIhlaller,,İhlaller,المخالفات,,
kart,kartKargo,,Kargo,الشحنات,,
kart,kartKargolarim,,Kargolarım,شحناتي,,
kart,kartOtoparkKullanimi,,Otopark Kullanımı,استخدام المواقف,,
kart,kartRaporlar,,Raporlar,التقارير,,
kart,kartSikayetler,,Şikayetler,الشكاوى,,
kart,kartSikayetlerim,,Şikayetlerim,شكاواي,,
kart,kartSiteRaporlari,,Site Raporları,تقارير المجمع,,
kart,kartTalepAriza,,Talep / Arıza,الطلبات,,
kart,kartTurlarim,,Turlarım,دورياتي,,
kart,kartVardiyaDurum,,Vardiya Durum,الوردية,,
kart,kartYonetici,,Yönetici,المدير,,
kart,kartZiyaretci,,Ziyaretçi,الزوار,,
kart,kartZiyaretciler,,Ziyaretçiler,الزوار,,
kategori,kategoriGurultu,,Gürültü,ضجيج,,
kategori,kategoriKapiOnuAyakkabi,,Kapı önü / ayakkabı,أمام الباب / أحذية,,
kategori,kategoriZararVerme,,Zarar verme,إحداث ضرر,,
kural,kuralAramaBos,,Aramayla eşleşen kural yok.,لا توجد قواعد مطابقة للبحث.,,
kural,kuralAramaIpucu,,Başlıkta ara (örn. havuz),ابحث في العناوين (مثال: المسبح),,
kural,kuralBaslik,,Site Kuralları,قواعد المجمّع,,
kural,kuralBaslikAlan,,Başlık * (örn. Havuz Saatleri),العنوان * (مثال: أوقات المسبح),,
kural,kuralBaslikGerekli,,Başlık gerekli,العنوان مطلوب,,
kural,kuralDuzenleBaslik,,Kuralı düzenle,تعديل القاعدة,,
kural,kuralEkleButon,,Kuralı ekle,أضف القاعدة,,
kural,kuralEklendi,,Kural eklendi ✓,تمت إضافة القاعدة ✓,,
kural,kuralGuncellendi,,Kural güncellendi ✓,تم تحديث القاعدة ✓,,
kural,kuralMetni,,Kural metni *,نص القاعدة *,,
kural,kuralMetniGerekli,,Kural metni gerekli,نص القاعدة مطلوب,,
kural,kuralMevcutGorsel,,Mevcut görsel korunuyor,يتم الإبقاء على الصورة الحالية,,
kural,kuralSilOnayBaslik,,Kural silinsin mi?,حذف هذه القاعدة؟,,
kural,kuralSilOnayGovde,,"""{baslik}"" kalıcı olarak silinecek.","سيتم حذف ""{baslik}"" نهائياً.",,
kural,kuralSilindi,,Kural silindi ✓,تم حذف القاعدة ✓,,
kural,kuralSira,,Sıra (küçük önce),الترتيب (الأصغر أولاً),,
kural,kuralSiraGecersiz,,Sıra 0 veya pozitif tam sayı olmalı,يجب أن يكون الترتيب 0 أو عدداً صحيحاً موجباً,,
kural,kuralYeni,,Yeni kural,قاعدة جديدة,,
kural,kuralYokSakin,,Henüz kural yayınlanmamış.,لم تُنشر أي قواعد بعد.,,
kural,kuralYokYonetim,,"Henüz kural yok. ""Yeni kural"" ile ekleyin.","لا توجد قواعد بعد. أضف واحدة عبر ""قاعدة جديدة"".",,
kuyruk,kuyrukBekliyor,,Bekliyor,في الانتظار,,
kuyruk,kuyrukBekliyorDeneme,,Bekliyor (deneme: {n}),في الانتظار (محاولة: {n}),,
kuyruk,kuyrukBos,,Kuyruk boş.,القائمة فارغة.,,
kuyruk,kuyrukEtiketEslesmedi,,etiket eşleşmedi,الوسم غير مطابق,,
kuyruk,kuyrukGonderildiYeni,,Gönderildi (yeni kayıt),تم الإرسال (سجل جديد),,
kuyruk,kuyrukGonderildiZatenVar,,Gönderildi (zaten kayıtlıydı),تم الإرسال (كان مسجّلاً),,
kuyruk,kuyrukGonderiliyor,,Gönderiliyor...,جارٍ الإرسال...,,
kuyruk,kuyrukHatalariTemizle,,Kalıcı hataları temizle,امسح الأخطاء الدائمة,,
kuyruk,kuyrukKaliciHata,,Kalıcı hata: {hata},خطأ دائم: {hata},,
kuyruk,kuyrukOzet,"bekleyen,hatali",{bekleyen} bekliyor · {hatali} kalıcı hata,{bekleyen} في الانتظار · {hatali} أخطاء دائمة,,
kuyruk,kuyrukSenkronla,,Şimdi senkronla,زامن الآن,,
modul,modulAidatim,,Aidatım,رسومي,,
modul,modulAracGecis,,Araç Geçişleri,مرور المركبات,,
modul,modulAylikRaporlar,,Aylık Raporlar,التقارير الشهرية,,
modul,modulBinaYapisi,,Bina Yapısı,هيكل المبنى,,
modul,modulButce,,Bütçe,الموازنة,,
modul,modulDemirbas,,Demirbaş,العهدة,,
modul,modulDevriyeTakibi,,Devriye Takibi,متابعة الدوريات,,
modul,modulDisHizmetler,,Dış Hizmetler,خدمات خارجية,,
modul,modulDuyurular,,Duyurular,الإعلانات,,
modul,modulEntegrasyonlar,,Entegrasyonlar,التكاملات,,
modul,modulEtkinlikler,,Etkinlikler,الأنشطة,,
modul,modulFinansalOzet,,Finansal Özet,الملخص المالي,,
modul,modulGonderimKuyrugu,,Gönderim Kuyruğu,قائمة الإرسال,,
modul,modulGorevYonetimi,,Görev Yönetimi,إدارة المهام,,
modul,modulGorevlerim,,Görevlerim,مهامي,,
modul,modulGoruntulemeIzni,,Görüntüleme İzni,إذن الاطّلاع,,
modul,modulIhlaller,,İhlaller,المخالفات,,
modul,modulKargo,,Kargo,الشحنات,,
modul,modulNfcOkutma,,NFC Okutma,قراءة NFC,,
modul,modulOtopark,,Otopark,موقف السيارات,,
modul,modulPersonel,,Saha Personeli,موظفو الميدان,,
modul,modulRezervasyon,,Rezervasyon,الحجوزات,,
modul,modulSakinler,,Site Sakinleri,سكان المجمع,,
modul,modulSeffaflik,,Şeffaflık,الشفافية,,
modul,modulSikayetHaritasi,,Şikayet Haritası,خريطة الشكاوى,,
modul,modulSikayetOneri,,Şikayet / Öneri,شكوى / اقتراح,,
modul,modulSikayetlerim,,Şikayetlerim,شكاواي,,
modul,modulSiteButcesi,,Site Bütçesi,موازنة المجمع,,
modul,modulSiteKurallari,,Site Kuralları,قواعد المجمع,,
modul,modulTurlarim,,Turlarım,دورياتي,,
modul,modulYoneticiIletisim,,Yönetici İletişim,التواصل مع الإدارة,,
modul,modulZiyaretciler,,Ziyaretçiler,الزوار,,
nfc,nfcAktifNoktaYok,,Aktif kontrol noktası yok.,لا توجد نقاط تفتيش نشطة.,,
nfc,nfcAktifNoktaYokAlt,,"Önce ""Kontrol noktaları""ndan ekleyin.","أضف واحدة أولاً من ""نقاط التفتيش"".",,
nfc,nfcBaslik,,NFC etiket okuma,قراءة وسم NFC,,
nfc,nfcEslesmeYok,,Bu etiket hiçbir checkpoint ile eşleşmiyor.,هذا الوسم لا يطابق أي نقطة تفتيش.,,
nfc,nfcGonderildi,,Gönderildi ✓ — okutma kaydedildi.,تم الإرسال ✓ — تم تسجيل المسح.,,
nfc,nfcGonderildiZatenVar,,Gönderildi ✓ — bu okutma zaten kayıtlıydı.,تم الإرسال ✓ — هذا المسح كان مسجّلاً بالفعل.,,
nfc,nfcHataBilinmeyen,,Bilinmeyen bir hata oluştu.,حدث خطأ غير معروف.,,
nfc,nfcHataCozumlenemedi,,Etiket çözümlenemedi: {detay},تعذّر تحليل الوسم: {detay},,
nfc,nfcHataDesteklenmiyor,,Bu cihaz NFC desteklemiyor.,هذا الجهاز لا يدعم NFC.,,
nfc,nfcHataKapali,,NFC kapalı. Lütfen cihaz ayarlarından NFC'yi açın.,NFC مغلق. الرجاء تشغيل NFC من إعدادات الجهاز.,,
nfc,nfcHataOkumaIptal,,Okuma iptal edildi: {detay},أُلغيت القراءة: {detay},,
nfc,nfcHataOturum,,NFC oturumu başlatılamadı: {detay},تعذّر بدء جلسة NFC: {detay},,
nfc,nfcHataUidOkunamadi,,Etiket UID okunamadı.,تعذّر قراءة معرّف الوسم (UID).,,
nfc,nfcHazir,,Okumaya hazır. Başlat'a dokunun.,جاهز للقراءة. اضغط ابدأ.,,
nfc,nfcIosIptal,,İptal edildi,أُلغي,,
nfc,nfcIosOkunamadi,,Okunamadı,تعذّرت القراءة,,
nfc,nfcIosOkundu,,Okundu,تم القراءة,,
nfc,nfcIosYaklastir,,Etiketi telefonun arkasına yaklaştırın.,قرّب الوسم من ظهر الهاتف.,,
nfc,nfcKaydedildiBekliyor,,Kaydedildi ✓ — bağlantı gelince otomatik gönderilecek.,تم الحفظ ✓ — سيُرسل تلقائياً عند توفر الاتصال.,,
nfc,nfcKaydedildiGonderiliyor,,Kaydedildi ✓ — gönderiliyor...,تم الحفظ ✓ — جارٍ الإرسال...,,
nfc,nfcKuyruk,,Gönderim kuyruğu,قائمة الإرسال,,
nfc,nfcKuyrukBekleyen,n,{n} okutma gönderim bekliyor,"{n, plural, zero{لا مسحات في الانتظار} one{مسح واحد في انتظار الإرسال} two{مسحان في انتظار الإرسال} few{{n} مسحات في انتظار الإرسال} many{{n} مسحاً في انتظار الإرسال} other{{n} مسح في انتظار الإرسال}}",,
nfc,nfcManuelOkut,,Manuel okut (test),مسح يدوي (اختبار),,
nfc,nfcNoktalarAlinamadi,,Noktalar alınamadı: {hata},تعذّر تحميل النقاط: {hata},,
nfc,nfcOkumayaBasla,,Okumayı başlat,ابدأ القراءة,,
nfc,nfcOkundu,,Etiket okundu.,تم قراءة الوسم.,,
nfc,nfcSdmBaslik,,"SDM (ham, doğrulanmamış)",SDM (خام، غير مُتحقَّق),,
nfc,nfcTekrarOku,,Tekrar oku,اقرأ مرة أخرى,,
nfc,nfcTestAlt,,Fiziksel etiket olmadan okutmayı simüle eder.,يحاكي المسح بدون وسم مادي.,,
nfc,nfcTestBaslik,,TEST: hangi noktayı okutalım?,اختبار: أي نقطة نمسح؟,,
nfc,nfcTestGorunur,,Yalnızca test derlemesinde görünür.,يظهر في نسخ الاختبار فقط.,,
nfc,nfcTipEtiket,,Tip,النوع,,
nfc,nfcUidSatir,,UID: {uid},UID: {uid},,
nfc,nfcYaklastirBekliyor,,Etiketi telefonun arkasına yaklaştırın...,قرّب الوسم من ظهر الهاتف...,,
nokta,noktaAdIpucu,,örn. Giriş Kapısı,مثال: البوابة الرئيسية,,
nokta,noktaBaslik,,Kontrol Noktaları,نقاط التفتيش,,
nokta,noktaBoylam,,Boylam (ops.),خط الطول (اختياري),,
nokta,noktaDuzenleBaslik,,Nokta düzenle,تعديل النقطة,,
nokta,noktaEkle,,Nokta ekle,إضافة نقطة,,
nokta,noktaEnlem,,Enlem (ops.),خط العرض (اختياري),,
nokta,noktaListelenemedi,,Noktalar listelenemedi.,تعذّر إدراج النقاط.,,
nokta,noktaPasifAlt,,Pasif nokta okutmada eşleşmez,النقطة غير النشطة لا تُطابق أي مسح,,
nokta,noktaSilGovde,,"""{ad}"" kontrol noktası silinecek.","سيتم حذف نقطة التفتيش ""{ad}"".",,
nokta,noktaSilOnay,,Nokta silinsin mi?,حذف هذه النقطة؟,,
nokta,noktaSilindi,,Nokta silindi ✓,تم حذف النقطة ✓,,
nokta,noktaUidAlan,,NFC etiket UID,معرّف وسم NFC,,
nokta,noktaUidHelper,,Etiketin benzersiz kimliği (hex).,المعرّف الفريد للوسم (hex).,,
nokta,noktaUidIpucu,,örn. 04A2B3C4D5,مثال: 04A2B3C4D5,,
nokta,noktaUidZatenVar,,Bu NFC etiketi zaten kayıtlı.,وسم NFC هذا مسجّل بالفعل.,,
nokta,noktaUidZorunlu,,NFC UID zorunludur,معرّف NFC إلزامي,,
nokta,noktaYeniBaslik,,Yeni kontrol noktası,نقطة تفتيش جديدة,,
nokta,noktaYok,,"Henüz kontrol noktası yok.
Sağ alttan NFC noktası ekleyin.","لا توجد نقاط تفتيش بعد.
أضف نقطة NFC من أسفل اليمين.",,
okutma,okutmaBeklenmeyenHata,,Beklenmeyen hata: {detay},خطأ غير متوقع: {detay},,
okutma,okutmaImzaGecersiz,,Etiket imzası doğrulanamadı — sahte veya yanlış etiket olabilir.,تعذّر التحقق من توقيع الوسم — قد يكون وسماً مزيفاً أو خاطئاً.,,
okutma,okutmaTekrarEdilmis,,Bu okutma daha önce işlendi.,تمت معالجة هذا المسح سابقاً.,,
ortak,ortakAdGerekli,,Ad gerekli,الاسم مطلوب,,
ortak,ortakAdSoyad,,Ad Soyad,الاسم الكامل,,
ortak,ortakBeklenmeyenHata,,Beklenmeyen bir hata oluştu. Lütfen tekrar deneyin.,حدث خطأ غير متوقع. يُرجى المحاولة مرة أخرى.,,
ortak,ortakBolumYakinda,,Bu bölüm yakında,هذا القسم قريباً,,
ortak,ortakCepTelefonu,,Cep telefonu,رقم الجوال,,
ortak,ortakDaireNoIpucu,,örn. A-12,مثال: A-12,,
ortak,ortakDuzenle,,Düzenle,تعديل,,
ortak,ortakEkle,,Ekle,إضافة,,
ortak,ortakFotoBekleyinVeyaKaldir,,Fotoğraf henüz yüklenmedi. Yüklemenin bitmesini bekleyin veya fotoyu kaldırın.,لم يتم تحميل الصورة بعد. انتظر انتهاء التحميل أو أزل الصورة.,,
ortak,ortakFotoOnlineTekrarDene,,Fotoğraf yüklemek için internet bağlantısı gerekli. Bağlantı gelince tekrar deneyin.,يلزم اتصال بالإنترنت لتحميل الصورة. أعد المحاولة عند عودة الاتصال.,,
ortak,ortakFotograf,,Fotoğraf,صورة,,
ortak,ortakFotografiBuyut,,Fotoğrafı büyüt,تكبير الصورة,,
ortak,ortakGaleri,,Galeri,المعرض,,
ortak,ortakGeciciKodBaslik,,Geçici giriş kodu,رمز الدخول المؤقت,,
ortak,ortakGoster,,Göster,عرض,,
ortak,ortakGuncelle,,Güncelle,تحديث,,
ortak,ortakIptal,,İptal,إلغاء,,
ortak,ortakIslemler,,İşlemler,الإجراءات,,
ortak,ortakKapat,,Kapat,إغلاق,,
ortak,ortakKaydediliyor,,Kaydediliyor...,جارٍ الحفظ...,,
ortak,ortakKaydet,,Kaydet,حفظ,,
ortak,ortakKopyala,,Kopyala,نسخ,,
ortak,ortakKopyalandi,,Kopyalandı,تم النسخ,,
ortak,ortakNotOpsiyonel,,Not (opsiyonel),ملاحظة (اختياري),,
ortak,ortakOlustur,,Oluştur,إنشاء,,
ortak,ortakParolaZorunlu,,Parola zorunludur,كلمة المرور إلزامية,,
ortak,ortakParolalarEslesmiyor,,Parolalar eşleşmiyor,كلمتا المرور غير متطابقتين,,
ortak,ortakParolayiGizle,,Parolayı gizle,إخفاء كلمة المرور,,
ortak,ortakParolayiGoster,,Parolayı göster,إظهار كلمة المرور,,
ortak,ortakSil,,Sil,حذف,,
ortak,ortakTamam,,Tamam,حسناً,,
ortak,ortakTekrarDene,,Tekrar dene,حاول مرة أخرى,,
ortak,ortakTelefonIpucu,,örn. 0532 111 22 03,مثال: 0532 111 22 03,,
ortak,ortakTelefonZorunlu,,Telefon zorunludur,الهاتف إلزامي,,
ortak,ortakTumunuGor,,Tümünü Gör,عرض الكل,,
ortak,ortakVazgec,,Vazgeç,إلغاء,,
ortak,ortakYakinda,,Yakında,قريباً,,
ortak,ortakYeniParola,,Yeni parola,كلمة مرور جديدة,,
ortak,ortakYeniParolaTekrar,,Yeni parola (tekrar),كلمة المرور الجديدة (مرة أخرى),,
ortak,ortakYeniParolaZorunlu,,Yeni parola zorunludur,كلمة المرور الجديدة إلزامية,,
ortak,ortakYenidenDene,,Yeniden dene,إعادة المحاولة,,
ortak,ortakYenile,,Yenile,تحديث,,
ortak,ortakYuklenemedi,,Yüklenemedi,تعذّر التحميل,,
ortak,ortakYuzde,,%{yuzde},{yuzde}٪,,
ortak,ortakZorunluAlan,,{alan} zorunludur,{alan} مطلوب,,
otopark,otoparkAracListesi,,Araç geçişlerini aç,فتح حركات المركبات,,
otopark,otoparkBosEtiket,,Boş,شاغر,,
otopark,otoparkDoluEtiket,,Dolu,مشغول,,
otopark,otoparkDoluKapasite,"dolu,kapasite",{dolu} / {kapasite},{dolu} / {kapasite},,
otopark,otoparkKapasiteEtiket,,Kapasite,السعة,,
otopark,otoparkKapasiteTanimsiz,,Kapasite tanımlı değil — yalnız içerideki araç sayısı gösterilir,لم تُحدَّد السعة — يُعرض عدد المركبات بالداخل فقط,,
ozet,ozetBuAy,,Bu Ay,هذا الشهر,,
ozet,ozetOtoparkDoluluk,,Otopark Doluluk,إشغال المواقف,,
ozet,ozetSuAn,,Şu An,الآن,,
ozet,ozetTahsilatOrani,,Aidat Tahsilat Oranı,نسبة تحصيل الرسوم,,
ozet,ozetToplamDaire,,Toplam Daire,إجمالي الشقق,,
ozet,ozetToplamTahsilat,,Toplam Tahsilat,إجمالي المُحصَّل,,
ozet,ozetTumSite,,Tüm Site,المجمع بالكامل,,
